,Unnamed: 0,City,State,ZipCode,CountyName,ProviderNumber,HospitalName,HospitalOwner,Address1,PhoneNumber,HospitalType,EmergencyService
33,33,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
34,34,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
35,35,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
36,36,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,xx479x8701,acute care hospitals,yes
37,37,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
38,38,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
39,39,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acxte care hospitals,yes
40,40,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
41,41,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
42,42,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
43,43,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
44,44,boaz,al,x5957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
45,45,boaz,al,35957,marshall,x0005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
46,46,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
47,47,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
48,48,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
49,49,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
50,50,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
51,51,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
52,52,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
53,53,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
54,54,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
55,55,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
56,56,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
57,57,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505xuxsxhighwayx431xnorth,2x6x938310,acute care hospitals,yes
58,58,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
59,59,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
60,60,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2x6x938310,acute care hospitals,yes
61,61,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
62,62,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
63,63,boaz,al,3595x,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
64,64,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
65,65,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565x38310,acute care hospitals,yes
66,66,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
67,67,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
68,68,boaz,al,35957,marshall,10005,callahan eye foundation hospital,voluntary non-profit - private,2505 u s highway 431 north,2565938310,acute care hospitals,yes
69,69,florence,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
70,70,florence,al,3563x,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
71,71,florence,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
72,72,florence,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
73,73,florence,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
74,74,florence,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
75,75,florence,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
76,76,florence,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
77,77,florence,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
78,78,florence,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
79,79,florence,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
80,80,florence,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
81,81,florence,al,35631,lauderdale,1000x,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
82,82,florence,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
83,83,birmingham,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
84,84,florence,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
85,85,florence,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
86,86,florence,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
87,87,florence,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
88,88,florence,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
89,89,florence,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
90,90,florence,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
91,91,florence,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
92,92,florence,al,35631,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
93,93,florence,al,3563x,lauderdale,10006,callahan eye foundation hospital,voluntary non-profit - other,205 marengo street,2567688400,acute care hospitals,yes
94,94,birmingham,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702xnxmainxst,3344933541,acute care hospitals,yes
95,95,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hospitals,yes
96,96,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hospitals,yes
97,97,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hospitals,yes
98,98,birmingham,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hosxitals,yes
99,99,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hospitals,yes
100,100,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hospitals,yes
101,101,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344x33541,acute care hospitals,yes
102,102,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hospitals,yes
103,103,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hospitals,yes
104,104,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hospitals,yes
105,105,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hospitals,yes
106,106,birmingham,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 x maix st,3344933541,acute care hospitals,yes
107,107,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hospitals,yes
108,108,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hospitals,yes
109,109,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hospitals,yes
110,110,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hospitals,yes
111,111,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hospitals,yes
112,112,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hospitals,yes
113,113,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hospitals,yes
114,114,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hospitals,yes
115,115,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hospitals,yes
116,116,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hospitals,yes
117,117,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hospitals,yes
118,118,opp,al,36467,covington,10007,callahan eye foundation hospital,voluntary non-profit - private,702 n main st,3344933541,acute care hospitals,yes
119,119,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
120,120,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
121,121,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
122,122,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
123,123,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
124,124,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
125,125,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
126,126,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
127,127,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
128,128,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
129,129,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
130,130,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
131,131,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
132,132,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
133,133,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
134,134,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
135,135,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
136,136,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
137,137,luverne,al,36x49,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
138,138,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
139,139,luverne,al,360x9,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
140,140,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
141,141,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
142,142,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
143,143,luverne,al,36049,crenshaw,10008,callahan eye foundation hospital,voluntary non-profit - private,101 hospital circle,3343353374,acute care hospitals,yes
144,144,hartselle,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
145,145,hartselle,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
146,146,hartselle,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
147,147,hartselle,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
148,148,hartselle,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
149,149,hartselle,al,3x640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
150,150,hartselle,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
151,151,hartselle,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
152,152,hartselle,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
153,153,hartselle,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
154,154,hartselle,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
155,155,hartselle,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
156,156,hartselle,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
157,157,hartselle,al,3x640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
158,158,hartselle,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
159,159,hartselle,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
160,160,hartselle,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
161,161,birmingham,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine sxreex norxhwesx,2567736511,acute care hospitals,yes
162,162,hartselle,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
163,163,hartselle,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
164,164,hartselle,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
165,165,birmingham,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
166,166,hartselle,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
167,167,hartselle,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
168,168,hartselle,al,35640,morgan,10009,callahan eye foundation hospital,voluntary non-profit - private,201 pine street northwest,2567736511,acute care hospitals,yes
169,169,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
170,170,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
171,171,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
172,172,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
173,173,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
174,174,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
175,175,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama xigxway 69,2565718000,acute care hospitals,yes
176,176,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
177,177,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
178,178,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
179,179,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
180,180,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
181,181,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
182,182,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
183,183,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
184,184,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
185,185,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
186,186,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
187,187,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
188,188,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
189,189,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
190,190,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
191,191,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
192,192,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
193,193,birmingham,al,35976,marshall,10010,callahan eye foundation hospital,voluntary non-profit - private,8000 alabama highway 69,2565718000,acute care hospitals,yes
194,194,birmingham,al,35235,jefferson,10011,callahan eye foundation hospital,voluntary non-profit - private,50 medical park east drive,2058383122,acute care hospitals,yes
195,195,birmingham,al,35235,jefferson,10011,callahan eye foundation hospital,voluntary non-profit - private,50 medical park east drive,2058383122,acute care hospitals,yes
196,196,birmingham,al,3x23x,jefferson,10011,callahan eye foundation hospital,voluntary non-profit - private,50 medical park east drive,2058383122,acute care hospitals,yes
197,197,birmingham,al,35235,jefferson,10011,callahan eye foundation hospital,voluntary non-profit - private,50 medical park east drive,2058383122,acute care hospitals,yes
198,198,birmingham,al,35235,jefferson,10011,callahan eye foundation hospital,voluntary non-profit - private,50 medical park east drive,2058383122,acute care hospitals,yes
199,199,birmingham,al,35235,jefferson,10011,callahan eye foundation hospital,voluntary non-profit - private,50 medical park east drive,2058383122,acute care hosxitals,yes
200,200,birmingham,al,35235,jefferson,10011,callahan eye foundation hospital,voluntary non-profit - private,50 medical park east drive,2058383122,acute care hospitals,yes
