,tid,attribute,correct_val
83,13,act_arr_time,8:06 a.m.
84,14,src,aa
85,14,flight,AA-1279-DFW-PHX
86,14,sched_dep_time,1:00 p.m.
87,14,act_dep_time,2:04 p.m.
88,14,sched_arr_time,2:35 p.m.
89,14,act_arr_time,3:30 p.m.
90,15,src,aa
91,15,flight,AA-616-DFW-DTW
92,15,sched_dep_time,9:05 a.m.
93,15,act_dep_time,10:10 a.m.
94,15,sched_arr_time,12:35 p.m.
95,15,act_arr_time,1:27 p.m.
96,16,src,aa
97,16,flight,AA-4344-ORD-DTW
98,16,sched_dep_time,11:45 a.m.
99,16,act_dep_time,12:13 p.m.
100,16,sched_arr_time,2:00 p.m.
101,16,act_arr_time,2:10 p.m.
102,17,src,aa
103,17,flight,AA-2525-DFW-MIA
104,17,sched_dep_time,7:25 a.m.
105,17,act_dep_time,7:39 a.m.
106,17,sched_arr_time,11:10 a.m.
107,17,act_arr_time,11:06 a.m.
108,18,src,aa
109,18,flight,AA-404-MIA-MCO
110,18,sched_dep_time,6:45 a.m.
111,18,act_dep_time,6:57 a.m.
112,18,sched_arr_time,7:45 a.m.
113,18,act_arr_time,7:40 a.m.
114,19,src,aa
115,19,flight,AA-271-MIA-LAX
116,19,sched_dep_time,11:35 a.m.
117,19,act_dep_time,11:52 a.m.
118,19,sched_arr_time,2:25 p.m.
119,19,act_arr_time,2:27 p.m.
120,20,src,aa
121,20,flight,AA-2050-ORD-MIA
122,20,sched_dep_time,10:40 a.m.
123,20,act_dep_time,11:05 a.m.
124,20,sched_arr_time,2:45 p.m.
125,20,act_arr_time,2:46 p.m.
126,21,src,aa
127,21,flight,AA-4330-CVG-ORD
128,21,sched_dep_time,3:35 p.m.
129,21,act_dep_time,3:36 p.m.
130,21,sched_arr_time,4:00 p.m.
131,21,act_arr_time,3:33 p.m.
132,22,src,aa
133,22,flight,AA-1434-DFW-MCO
134,22,sched_dep_time,7:15 a.m.
135,22,act_dep_time,7:21 a.m.
136,22,sched_arr_time,10:35 a.m.
137,22,act_arr_time,10:36 a.m.
138,23,src,aa
139,23,flight,AA-4307-ORD-DTW
140,23,sched_dep_time,6:45 p.m.
141,23,act_dep_time,6:55 p.m.
142,23,sched_arr_time,9:10 p.m.
143,23,act_arr_time,8:53 p.m.
144,24,src,aa
145,24,flight,AA-3-JFK-LAX
146,24,sched_dep_time,12:00 p.m.
147,24,act_dep_time,12:11 p.m.
148,24,sched_arr_time,3:15 p.m.
149,24,act_arr_time,3:16 p.m.
150,25,src,aa
151,25,flight,AA-3842-MSP-ORD
152,25,sched_dep_time,6:00 a.m.
153,25,act_dep_time,6:56 a.m.
154,25,sched_arr_time,7:30 a.m.
155,25,act_arr_time,7:51 a.m.
156,26,src,aa
157,26,flight,AA-643-MIA-ORD
158,26,sched_dep_time,7:10 a.m.
159,26,act_dep_time,7:30 a.m.
160,26,sched_arr_time,9:35 a.m.
161,26,act_arr_time,9:31 a.m.
162,27,src,aa
163,27,flight,AA-1007-MIA-PHX
164,27,sched_dep_time,4:55 p.m.
165,27,act_dep_time,5:08 p.m.
166,27,sched_arr_time,8:05 p.m.
167,27,act_arr_time,7:55 p.m.
168,28,src,aa
169,28,flight,AA-1221-MCO-ORD
170,28,sched_dep_time,8:00 p.m.
171,28,act_dep_time,8:23 p.m.
172,28,sched_arr_time,9:45 p.m.
173,28,act_arr_time,9:53 p.m.
174,29,src,aa
175,29,flight,AA-400-DFW-JFK
176,29,sched_dep_time,10:40 a.m.
177,29,act_dep_time,11:01 a.m.
178,29,sched_arr_time,2:59 p.m.
179,29,act_arr_time,3:04 p.m.
180,30,src,aa
181,30,flight,AA-4198-ORD-CLE
182,30,sched_dep_time,10:40 a.m.
183,30,act_dep_time,10:54 a.m.
184,30,sched_arr_time,12:55 p.m.
185,30,act_arr_time,12:50 p.m.
186,31,src,aa
187,31,flight,AA-1522-SFO-ORD
188,31,sched_dep_time,11:55 p.m.
189,31,act_dep_time,11:55 p.m.
190,31,sched_arr_time,5:50 a.m.
191,31,act_arr_time,5:50 a.m.
192,32,src,aa
193,32,flight,AA-3823-LAX-DEN
194,32,sched_dep_time,9:00 p.m.
195,32,act_dep_time,9:00 p.m.
196,32,sched_arr_time,12:15 a.m.
197,32,act_arr_time,12:15 a.m.
198,33,src,aa
199,33,flight,AA-2312-DFW-DTW
200,33,sched_dep_time,8:25 p.m.
201,33,act_dep_time,8:25 p.m.
202,33,sched_arr_time,11:50 p.m.
203,33,act_arr_time,11:50 p.m.
204,34,src,aa
205,34,flight,AA-1165-JFK-MIA
206,34,sched_dep_time,6:59 a.m.
207,34,act_dep_time,7:22 a.m.
208,34,sched_arr_time,10:34 a.m.
209,34,act_arr_time,10:04 a.m.
210,35,src,aa
211,35,flight,AA-431-MIA-SFO
212,35,sched_dep_time,8:35 a.m.
213,35,act_dep_time,8:51 a.m.
214,35,sched_arr_time,11:50 a.m.
215,35,act_arr_time,11:44 a.m.
216,36,src,aa
217,36,flight,AA-649-ORD-SNA
218,36,sched_dep_time,1:30 p.m.
219,36,act_dep_time,1:30 p.m.
220,36,sched_arr_time,3:50 p.m.
221,36,act_arr_time,3:50 p.m.
222,37,src,aa
223,37,flight,AA-3063-SLC-LAX
224,37,sched_dep_time,8:20 p.m.
225,37,act_dep_time,8:39 p.m.
226,37,sched_arr_time,9:20 p.m.
227,37,act_arr_time,9:20 p.m.
228,38,src,aa
229,38,flight,AA-3804-PHL-ORD
230,38,sched_dep_time,2:35 p.m.
231,38,act_dep_time,2:44 p.m.
232,38,sched_arr_time,4:05 p.m.
233,38,act_arr_time,3:43 p.m.
234,39,src,aa
235,39,flight,AA-1917-JFK-MCO
236,39,sched_dep_time,2:55 p.m.
237,39,act_dep_time,3:27 p.m.
238,39,sched_arr_time,5:55 p.m.
239,39,act_arr_time,5:43 p.m.
240,40,src,aa
241,40,flight,AA-2268-PHX-ORD
242,40,sched_dep_time,7:15 a.m.
243,40,act_dep_time,7:22 a.m.
244,40,sched_arr_time,11:35 a.m.
245,40,act_arr_time,11:06 a.m.
246,41,src,aa
247,41,flight,AA-4277-CVG-JFK
248,41,sched_dep_time,12:10 p.m.
249,41,act_dep_time,12:10 p.m.
250,41,sched_arr_time,2:15 p.m.
251,41,act_arr_time,1:43 p.m.
252,42,src,aa
253,42,flight,AA-789-ORD-DEN
254,42,sched_dep_time,1:05 p.m.
255,42,act_dep_time,1:19 p.m.
256,42,sched_arr_time,2:35 p.m.
257,42,act_arr_time,3:13 p.m.
258,43,src,aa
259,43,flight,AA-415-BOS-ORD
260,43,sched_dep_time,8:35 a.m.
261,43,act_dep_time,8:56 a.m.
262,43,sched_arr_time,10:40 a.m.
263,43,act_arr_time,10:16 a.m.
264,44,src,aa
265,44,flight,AA-85-JFK-SFO
266,44,sched_dep_time,3:05 p.m.
267,44,act_dep_time,3:36 p.m.
268,44,sched_arr_time,6:30 p.m.
269,44,act_arr_time,6:43 p.m.
270,45,src,aa
271,45,flight,AA-1544-SAN-ORD
272,45,sched_dep_time,11:25 a.m.
273,45,act_dep_time,11:40 a.m.
274,45,sched_arr_time,5:25 p.m.
275,45,act_arr_time,4:56 p.m.
276,46,src,aa
277,46,flight,AA-3786-IAH-ORD
278,46,sched_dep_time,4:00 p.m.
279,46,act_dep_time,4:12 p.m.
280,46,sched_arr_time,6:40 p.m.
281,46,act_arr_time,6:15 p.m.
282,47,src,aa
283,47,flight,AA-222-LAX-BOS
284,47,sched_dep_time,7:10 a.m.
285,47,act_dep_time,7:31 a.m.
286,47,sched_arr_time,3:30 p.m.
287,47,act_arr_time,3:14 p.m.
288,48,src,aa
289,48,flight,AA-3809-PHX-LAX
290,48,sched_dep_time,6:00 a.m.
291,48,act_dep_time,6:10 a.m.
292,48,sched_arr_time,6:40 a.m.
293,48,act_arr_time,6:19 a.m.
294,49,src,aa
295,49,flight,AA-59-JFK-SFO
296,49,sched_dep_time,7:10 a.m.
297,49,act_dep_time,7:39 a.m.
298,49,sched_arr_time,10:45 a.m.
299,49,act_arr_time,11:12 a.m.
300,50,src,helloflight
301,50,flight,AA-3859-IAH-ORD
302,50,sched_dep_time,7:10 a.m.
303,50,act_dep_time,7:16 a.m.
304,50,sched_arr_time,9:40 a.m.
305,50,act_arr_time,9:32 a.m.
306,51,src,helloflight
307,51,flight,CO-1586-IAH-MCO
308,51,sched_dep_time,7:00 p.m.
309,51,act_dep_time,7:14 p.m.
310,51,sched_arr_time,10:15 p.m.
311,51,act_arr_time,10:29 p.m.
312,52,src,helloflight
313,52,flight,AA-518-MIA-JFK
314,52,sched_dep_time,6:40 a.m.
315,52,act_dep_time,6:54 a.m.
316,52,sched_arr_time,9:25 a.m.
317,52,act_arr_time,9:28 a.m.
318,53,src,helloflight
319,53,flight,UA-397-JFK-SFO
320,53,sched_dep_time,8:00 a.m.
321,53,act_dep_time,8:29 a.m.
322,53,sched_arr_time,11:55 a.m.
323,53,act_arr_time,11:58 a.m.
324,54,src,helloflight
325,54,flight,UA-3925-IAD-ORF
326,54,sched_dep_time,8:41 a.m.
327,54,act_dep_time,8:42 a.m.
328,54,sched_arr_time,9:54 a.m.
329,54,act_arr_time,9:43 a.m.
330,55,src,helloflight
331,55,flight,AA-1733-ORD-PHX
332,55,sched_dep_time,7:45 p.m.
333,55,act_dep_time,7:58 p.m.
334,55,sched_arr_time,10:30 p.m.
335,55,act_arr_time,10:30 p.m.
336,56,src,helloflight
337,56,flight,UA-2830-MCO-CLT
338,56,sched_dep_time,3:27 p.m.
339,56,act_dep_time,3:27 p.m.
340,56,sched_arr_time,5:05 p.m.
341,56,act_arr_time,5:17 p.m.
342,57,src,helloflight
343,57,flight,CO-58-DEN-IAH
344,57,sched_dep_time,11:25 a.m.
345,57,act_dep_time,11:32 a.m.
346,57,sched_arr_time,2:50 p.m.
347,57,act_arr_time,3:31 p.m.
348,58,src,helloflight
349,58,flight,AA-1544-SAN-ORD
350,58,sched_dep_time,11:25 a.m.
351,58,act_dep_time,11:40 a.m.
352,58,sched_arr_time,5:25 p.m.
353,58,act_arr_time,4:56 p.m.
354,59,src,helloflight
355,59,flight,UA-5487-SFO-MRY
356,59,sched_dep_time,10:39 a.m.
357,59,act_dep_time,10:33 a.m.
358,59,sched_arr_time,11:19 a.m.
359,59,act_arr_time,11:21 a.m.
360,60,src,helloflight
361,60,flight,AA-204-LAX-MCO
362,60,sched_dep_time,11:25 p.m.
363,60,act_dep_time,11:25 p.m.
364,60,sched_arr_time,6:55 a.m.
365,60,act_arr_time,6:55 a.m.
366,61,src,helloflight
367,61,flight,UA-414-LAX-SFO
368,61,sched_dep_time,6:00 a.m.
369,61,act_dep_time,5:56 a.m.
370,61,sched_arr_time,7:23 a.m.
371,61,act_arr_time,7:17 a.m.
372,62,src,helloflight
373,62,flight,CO-1614-LAX-IAH
374,62,sched_dep_time,12:30 a.m.
375,62,act_dep_time,12:41 a.m.
376,62,sched_arr_time,5:35 a.m.
377,62,act_arr_time,5:26 a.m.
378,63,src,helloflight
379,63,flight,UA-2726-FLL-PHL
380,63,sched_dep_time,4:00 p.m.
381,63,act_dep_time,4:00 p.m.
382,63,sched_arr_time,6:46 p.m.
383,63,act_arr_time,6:28 p.m.
384,64,src,helloflight
385,64,flight,CO-52-IAH-LAX
386,64,sched_dep_time,7:35 a.m.
387,64,act_dep_time,7:29 a.m.
388,64,sched_arr_time,9:21 a.m.
389,64,act_arr_time,9:14 a.m.
390,65,src,helloflight
391,65,flight,CO-1090-BOS-IAH
392,65,sched_dep_time,9:45 a.m.
393,65,act_dep_time,10:19 a.m.
394,65,sched_arr_time,1:16 p.m.
395,65,act_arr_time,1:19 p.m.
396,66,src,helloflight
397,66,flight,AA-616-DFW-DTW
398,66,sched_dep_time,9:05 a.m.
399,66,act_dep_time,10:10 a.m.
400,66,sched_arr_time,12:35 p.m.
401,66,act_arr_time,1:27 p.m.
402,67,src,helloflight
403,67,flight,UA-3515-IAD-MSP
404,67,sched_dep_time,8:15 a.m.
405,67,act_dep_time,8:12 a.m.
406,67,sched_arr_time,10:06 a.m.
407,67,act_arr_time,9:56 a.m.
408,68,src,helloflight
409,68,flight,AA-3468-CVG-MIA
410,68,sched_dep_time,7:00 a.m.
411,68,act_dep_time,7:25 a.m.
412,68,sched_arr_time,9:55 a.m.
413,68,act_arr_time,9:45 a.m.
414,69,src,helloflight
415,69,flight,AA-484-DFW-MIA
416,69,sched_dep_time,4:15 p.m.
417,69,act_dep_time,4:29 p.m.
418,69,sched_arr_time,7:55 p.m.
419,69,act_arr_time,7:39 p.m.
420,70,src,helloflight
421,70,flight,AA-1886-BOS-MIA
422,70,sched_dep_time,10:45 a.m.
423,70,act_dep_time,10:55 a.m.
424,70,sched_arr_time,2:20 p.m.
425,70,act_arr_time,1:40 p.m.
426,71,src,helloflight
427,71,flight,CO-62-IAH-EWR
428,71,sched_dep_time,2:30 p.m.
429,71,act_dep_time,2:48 p.m.
430,71,sched_arr_time,7:03 p.m.
431,71,act_arr_time,7:10 p.m.
432,72,src,helloflight
433,72,flight,CO-1561-PHX-IAH
434,72,sched_dep_time,8:05 a.m.
435,72,act_dep_time,8:00 a.m.
436,72,sched_arr_time,11:35 a.m.
437,72,act_arr_time,11:32 a.m.
438,73,src,helloflight
439,73,flight,UA-2314-ATL-PHL
440,73,sched_dep_time,2:55 p.m.
441,73,act_dep_time,2:55 p.m.
442,73,sched_arr_time,5:00 p.m.
443,73,act_arr_time,4:47 p.m.
444,74,src,helloflight
445,74,flight,AA-446-DFW-PHL
446,74,sched_dep_time,11:50 a.m.
447,74,act_dep_time,12:12 p.m.
448,74,sched_arr_time,3:50 p.m.
449,74,act_arr_time,4:09 p.m.
450,75,src,helloflight
451,75,flight,CO-1023-IAH-DEN
452,75,sched_dep_time,11:40 a.m.
453,75,act_dep_time,11:56 a.m.
454,75,sched_arr_time,1:17 p.m.
455,75,act_arr_time,1:14 p.m.
456,76,src,helloflight
457,76,flight,AA-466-IAH-MIA
458,76,sched_dep_time,6:00 a.m.
459,76,act_dep_time,6:08 a.m.
460,76,sched_arr_time,9:20 a.m.
461,76,act_arr_time,9:05 a.m.
462,77,src,helloflight
463,77,flight,UA-3050-PHX-CLT
464,77,sched_dep_time,11:05 a.m.
465,77,act_dep_time,11:30 a.m.
466,77,sched_arr_time,4:57 p.m.
467,77,act_arr_time,5:05 p.m.
468,78,src,helloflight
469,78,flight,CO-89-IAH-EWR
470,78,sched_dep_time,6:00 a.m.
471,78,act_dep_time,6:02 a.m.
472,78,sched_arr_time,10:20 a.m.
473,78,act_arr_time,10:27 a.m.
474,79,src,helloflight
475,79,flight,CO-1088-CLE-IAH
476,79,sched_dep_time,8:40 a.m.
477,79,act_dep_time,8:40 a.m.
478,79,sched_arr_time,10:54 a.m.
479,79,act_arr_time,10:56 a.m.
480,80,src,helloflight
481,80,flight,AA-1664-MIA-ATL
482,80,sched_dep_time,10:15 a.m.
483,80,act_dep_time,10:18 a.m.
484,80,sched_arr_time,12:10 p.m.
485,80,act_arr_time,11:56 a.m.
486,81,src,helloflight
487,81,flight,AA-1279-DFW-PHX
488,81,sched_dep_time,1:00 p.m.
489,81,act_dep_time,2:04 p.m.
490,81,sched_arr_time,2:35 p.m.
491,81,act_arr_time,3:30 p.m.
492,82,src,helloflight
493,82,flight,UA-854-SFO-IAH
494,82,sched_dep_time,7:53 a.m.
495,82,act_dep_time,7:49 a.m.
496,82,sched_arr_time,1:39 p.m.
497,82,act_arr_time,1:30 p.m.
498,83,src,helloflight
499,83,flight,UA-382-IAD-LAX
500,83,sched_dep_time,12:30 p.m.
501,83,act_dep_time,12:35 p.m.
502,83,sched_arr_time,3:19 p.m.
503,83,act_arr_time,3:21 p.m.
504,84,src,helloflight
505,84,flight,AA-4344-ORD-DTW
506,84,sched_dep_time,11:45 a.m.
507,84,act_dep_time,12:13 p.m.
508,84,sched_arr_time,2:00 p.m.
509,84,act_arr_time,2:10 p.m.
510,85,src,helloflight
511,85,flight,UA-257-JFK-SFO
512,85,sched_dep_time,2:30 p.m.
513,85,act_dep_time,2:26 p.m.
514,85,sched_arr_time,6:15 p.m.
515,85,act_arr_time,5:42 p.m.
516,86,src,helloflight
517,86,flight,UA-2945-PHL-CLT
518,86,sched_dep_time,12:00 a.m.
519,86,act_dep_time,3:11 a.m.
520,86,sched_arr_time,1:45 p.m.
521,86,act_arr_time,1:15 p.m.
522,87,src,helloflight
523,87,flight,CO-63-EWR-IAH
524,87,sched_dep_time,5:25 p.m.
525,87,act_dep_time,5:22 p.m.
526,87,sched_arr_time,8:22 p.m.
527,87,act_arr_time,8:03 p.m.
528,88,src,helloflight
529,88,flight,CO-47-IAH-LAX
530,88,sched_dep_time,7:10 p.m.
531,88,act_dep_time,8:25 p.m.
532,88,sched_arr_time,8:56 p.m.
533,88,act_arr_time,9:52 p.m.
534,89,src,helloflight
535,89,flight,AA-2050-ORD-MIA
536,89,sched_dep_time,10:40 a.m.
537,89,act_dep_time,11:05 a.m.
538,89,sched_arr_time,2:45 p.m.
539,89,act_arr_time,2:46 p.m.
540,90,src,helloflight
541,90,flight,UA-248-PHX-ORD
542,90,sched_dep_time,12:57 p.m.
543,90,act_dep_time,1:32 p.m.
544,90,sched_arr_time,5:15 p.m.
545,90,act_arr_time,5:34 p.m.
546,91,src,helloflight
547,91,flight,AA-4330-CVG-ORD
548,91,sched_dep_time,3:35 p.m.
549,91,act_dep_time,3:36 p.m.
550,91,sched_arr_time,4:00 p.m.
551,91,act_arr_time,3:33 p.m.
552,92,src,helloflight
553,92,flight,AA-1434-DFW-MCO
554,92,sched_dep_time,7:15 a.m.
555,92,act_dep_time,7:21 a.m.
556,92,sched_arr_time,10:35 a.m.
557,92,act_arr_time,10:36 a.m.
558,93,src,helloflight
559,93,flight,AA-1640-MIA-MCO
560,93,sched_dep_time,6:30 p.m.
561,93,act_dep_time,6:30 p.m.
562,93,sched_arr_time,7:25 p.m.
563,93,act_arr_time,7:25 p.m.
564,94,src,helloflight
565,94,flight,AA-4307-ORD-DTW
566,94,sched_dep_time,6:45 p.m.
567,94,act_dep_time,6:55 p.m.
568,94,sched_arr_time,9:10 p.m.
569,94,act_arr_time,8:53 p.m.
570,95,src,helloflight
571,95,flight,AA-3-JFK-LAX
572,95,sched_dep_time,12:00 p.m.
573,95,act_dep_time,12:11 p.m.
574,95,sched_arr_time,3:15 p.m.
575,95,act_arr_time,3:16 p.m.
576,96,src,helloflight
577,96,flight,CO-1694-LAX-IAH
578,96,sched_dep_time,7:15 p.m.
579,96,act_dep_time,7:15 p.m.
580,96,sched_arr_time,12:21 a.m.
581,96,act_arr_time,12:21 a.m.
582,97,src,helloflight
583,97,flight,UA-843-LAX-ORD
584,97,sched_dep_time,1:55 p.m.
585,97,act_dep_time,2:10 p.m.
586,97,sched_arr_time,7:53 p.m.
587,97,act_arr_time,7:58 p.m.
588,98,src,helloflight
589,98,flight,CO-1193-EWR-MCO
590,98,sched_dep_time,9:15 a.m.
591,98,act_dep_time,9:14 a.m.
592,98,sched_arr_time,12:18 p.m.
593,98,act_arr_time,12:09 p.m.
594,99,src,helloflight
595,99,flight,AA-3842-MSP-ORD
596,99,sched_dep_time,6:00 a.m.
597,99,act_dep_time,6:56 a.m.
598,99,sched_arr_time,7:30 a.m.
599,99,act_arr_time,7:51 a.m.
600,100,src,helloflight
601,100,flight,AA-643-MIA-ORD
602,100,sched_dep_time,7:10 a.m.
603,100,act_dep_time,7:30 a.m.
604,100,sched_arr_time,9:35 a.m.
605,100,act_arr_time,9:31 a.m.
606,101,src,helloflight
607,101,flight,AA-1007-MIA-PHX
608,101,sched_dep_time,4:55 p.m.
609,101,act_dep_time,5:08 p.m.
610,101,sched_arr_time,8:05 p.m.
611,101,act_arr_time,7:55 p.m.
612,102,src,helloflight
613,102,flight,AA-2525-DFW-MIA
614,102,sched_dep_time,7:25 a.m.
615,102,act_dep_time,7:39 a.m.
616,102,sched_arr_time,11:10 a.m.
617,102,act_arr_time,11:06 a.m.
618,103,src,helloflight
619,103,flight,UA-2906-PHL-MCO
620,103,sched_dep_time,3:50 p.m.
621,103,act_dep_time,4:28 p.m.
622,103,sched_arr_time,6:23 p.m.
623,103,act_arr_time,6:38 p.m.
624,104,src,helloflight
625,104,flight,UA-938-DEN-ORD
626,104,sched_dep_time,4:16 p.m.
627,104,act_dep_time,4:15 p.m.
628,104,sched_arr_time,7:35 p.m.
629,104,act_arr_time,7:36 p.m.
630,105,src,helloflight
631,105,flight,AA-1221-MCO-ORD
632,105,sched_dep_time,8:00 p.m.
633,105,act_dep_time,8:23 p.m.
634,105,sched_arr_time,9:45 p.m.
635,105,act_arr_time,9:53 p.m.
636,106,src,helloflight
637,106,flight,CO-16-LAX-EWR
638,106,sched_dep_time,10:25 a.m.
639,106,act_dep_time,10:20 a.m.
640,106,sched_arr_time,6:44 p.m.
641,106,act_arr_time,6:34 p.m.
642,107,src,helloflight
643,107,flight,UA-2515-DFW-CLT
644,107,sched_dep_time,7:05 a.m.
645,107,act_dep_time,7:05 a.m.
646,107,sched_arr_time,10:31 a.m.
647,107,act_arr_time,10:47 a.m.
648,108,src,helloflight
649,108,flight,AA-400-DFW-JFK
650,108,sched_dep_time,10:40 a.m.
651,108,act_dep_time,11:01 a.m.
652,108,sched_arr_time,2:59 p.m.
653,108,act_arr_time,3:04 p.m.
654,109,src,helloflight
655,109,flight,UA-664-ORD-PHL
656,109,sched_dep_time,1:33 p.m.
657,109,act_dep_time,1:31 p.m.
658,109,sched_arr_time,4:31 p.m.
659,109,act_arr_time,4:23 p.m.
660,110,src,helloflight
661,110,flight,AA-3756-ORD-SLC
662,110,sched_dep_time,12:15 p.m.
663,110,act_dep_time,12:41 p.m.
664,110,sched_arr_time,2:45 p.m.
665,110,act_arr_time,2:50 p.m.
666,111,src,helloflight
667,111,flight,UA-37-EWR-MCO
668,111,sched_dep_time,1:29 p.m.
669,111,act_dep_time,1:48 p.m.
670,111,sched_arr_time,4:17 p.m.
671,111,act_arr_time,4:17 p.m.
672,112,src,helloflight
673,112,flight,AA-1522-SFO-ORD
674,112,sched_dep_time,11:55 p.m.
675,112,act_dep_time,11:55 p.m.
676,112,sched_arr_time,5:50 a.m.
677,112,act_arr_time,5:50 a.m.
678,113,src,helloflight
679,113,flight,UA-233-LAX-JFK
680,113,sched_dep_time,4:25 p.m.
681,113,act_dep_time,4:25 p.m.
682,113,sched_arr_time,12:29 a.m.
683,113,act_arr_time,12:29 a.m.
684,114,src,helloflight
685,114,flight,AA-3823-LAX-DEN
686,114,sched_dep_time,9:00 p.m.
687,114,act_dep_time,9:00 p.m.
688,114,sched_arr_time,12:15 a.m.
689,114,act_arr_time,12:15 a.m.
690,115,src,helloflight
691,115,flight,AA-2312-DFW-DTW
692,115,sched_dep_time,8:25 p.m.
693,115,act_dep_time,8:25 p.m.
694,115,sched_arr_time,11:50 p.m.
695,115,act_arr_time,11:50 p.m.
696,116,src,helloflight
697,116,flight,AA-1165-JFK-MIA
698,116,sched_dep_time,6:59 a.m.
699,116,act_dep_time,7:22 a.m.
700,116,sched_arr_time,10:34 a.m.
701,116,act_arr_time,10:04 a.m.
702,117,src,helloflight
703,117,flight,AA-431-MIA-SFO
704,117,sched_dep_time,8:35 a.m.
705,117,act_dep_time,8:51 a.m.
706,117,sched_arr_time,11:50 a.m.
707,117,act_arr_time,11:44 a.m.
708,118,src,helloflight
709,118,flight,UA-3373-IAD-PHL
710,118,sched_dep_time,8:29 a.m.
711,118,act_dep_time,8:26 a.m.
712,118,sched_arr_time,9:24 a.m.
713,118,act_arr_time,9:13 a.m.
714,119,src,helloflight
715,119,flight,AA-649-ORD-SNA
716,119,sched_dep_time,1:30 p.m.
717,119,act_dep_time,1:30 p.m.
718,119,sched_arr_time,3:50 p.m.
719,119,act_arr_time,3:50 p.m.
720,120,src,helloflight
721,120,flight,CO-1250-MIA-IAH
722,120,sched_dep_time,2:53 p.m.
723,120,act_dep_time,3:01 p.m.
724,120,sched_arr_time,4:48 p.m.
725,120,act_arr_time,4:59 p.m.
726,121,src,helloflight
727,121,flight,UA-6273-YYC-SFO
728,121,sched_dep_time,7:35 a.m.
729,121,act_dep_time,7:27 a.m.
730,121,sched_arr_time,9:43 a.m.
731,121,act_arr_time,8:45 a.m.
732,122,src,helloflight
733,122,flight,UA-828-SFO-ORD
734,122,sched_dep_time,11:08 p.m.
735,122,act_dep_time,11:08 p.m.
736,122,sched_arr_time,5:11 a.m.
737,122,act_arr_time,5:11 a.m.
738,123,src,helloflight
739,123,flight,CO-4888-IAH-DAL
740,123,sched_dep_time,5:30 p.m.
741,123,act_dep_time,5:30 p.m.
742,123,sched_arr_time,6:40 p.m.
