ounces,abv,brewery_id,brewery_name,city,state,Label
16.0 oz.,0.055,1,Against the Grain Brewery,Louisville,KY,
16.0 ounce,0.076,1,Against the Grain Brewery,Louisville,KY,
16.0 OZ.,0.05%,1,Against the Grain Brewery,Louisville,KY,
16.0 ounce,0.07%,1,Against the Grain Brewery,Louisville,KY,
16.0 oz.,0.06,1,Against the Grain Brewery,Louisville,KY,
16.0 oz,0.05,1,Against the Grain Brewery,Louisville,KY,
16.0 ounce,0.053,367,Airways Brewing Company,Kent,WA,
16.0 OZ.,0.05,367,Airways Brewing Company,Kent,WA,
16.0 oz.,0.052,367,Airways Brewing Company,Kent,WA,
12.0 OZ.,0.04,117,Alameda Brewing,Portland,OR,
12.0 oz. Alumi-Tek,0.053,117,Alameda Brewing,Portland,OR,
12.0 oz,0.082,117,Alameda Brewing,Portland,OR,
12.0 oz.,0.053,270,Alaskan Brewing Company,Juneau,AK,
12.0 OZ.,0.053,270,Alaskan Brewing Company,Juneau,AK,
12.0 OZ.,0.057,73,Ale Asylum,Madison WI,,
16.0 oz,0.043,388,Alltech's Lexington Brewing Company,Lexington,KY,
16.0 OZ.,0.065,388,Alltech's Lexington Brewing Company,Lexington,KY,
16.0 oz. Alumi-Tek,0.054,401,Amnesia Brewing Company,Washougal,WA,
16.0 oz,0.062,401,Amnesia Brewing Company,Washougal,WA,
16.0 ounce,0.062,401,Amnesia Brewing Company,Washougal,WA,
12.0 oz. Alumi-Tek,0.06%,35,Anchor Brewing Company,San Francisco,CA,
12.0 ounce,0.07%,35,Anchor Brewing Company,San Francisco,CA,
12.0 oz,0.05%,35,Anchor Brewing Company,San Francisco,CA,
12.0 oz.,0.049,35,Anchor Brewing Company,San Francisco,CA,
12.0 ounce,0.06%,35,Anchor Brewing Company,San Francisco,CA,
12.0 oz.,0.042,171,Anderson Valley Brewing Company,Boonville,CA,
12.0 oz,0.042,171,Anderson Valley Brewing Company,Boonville,CA,
12.0 oz.,0.05%,171,Anderson Valley Brewing Company,Boonville,CA,
12.0 oz,0.06,171,Anderson Valley Brewing Company,Boonville,CA,
12.0 ounce,0.057,171,Anderson Valley Brewing Company,Boonville,CA,
12.0 ounce,0.056,171,Anderson Valley Brewing Company,Boonville,CA,
12.0 oz,0.07,171,Anderson Valley Brewing Company,Boonville,CA,
12.0 oz.,0.06%,171,Anderson Valley Brewing Company,Boonville,CA,
12.0 oz. Alumi-Tek,0.057,171,Anderson Valley Brewing Company,Boonville,CA,
16.0 oz,0.055,171,Anderson Valley Brewing Company,Boonville,CA,
12.0 oz.,0.06%,171,Anderson Valley Brewing Company,Boonville,CA,
12.0 oz,0.056,171,Anderson Valley Brewing Company,Boonville,CA,
12.0 oz,0.06%,171,Anderson Valley Brewing Company,Boonville,CA,
12.0 ounce,0.07%,171,Anderson Valley Brewing Company,Boonville,CA,
12.0 ounce,0.07,171,Anderson Valley Brewing Company,Boonville,CA,
12.0 ounce,0.058,171,Anderson Valley Brewing Company,Boonville,CA,
12.0 oz.,0.056,171,Anderson Valley Brewing Company,Boonville,CA,
12.0 oz.,0.055,171,Anderson Valley Brewing Company,Boonville,CA,
16.0 ounce,0.06,146,Angry Minnow,Hayward,WI,
16.0 oz,0.05%,542,Angry Minnow Brewing Company,Hayward,WI,
16.0 oz.,0.05%,542,Angry Minnow Brewing Company,Hayward WI,,
16.0 oz.,0.05,434,Angry Orchard Cider Company,Cincinnati,OH,
16.0 oz.,0.05%,434,Angry Orchard Cider Company,Cincinnati,OH,
12.0 OZ.,0.05,434,Angry Orchard Cider Company,Cincinnati,OH,
12.0 oz.,0.068,193,Anthem Brewing Company,Oklahoma City,OK,
12.0 ounce,0.06,193,Anthem Brewing Company,Oklahoma City,OK,
12.0 OZ.,0.09%,193,Anthem Brewing Company,Oklahoma City,OK,
16.0 oz.,0.071,69,Appalachian Mountain Brewery,Boone,NC,
16.0 oz. Alumi-Tek,0.047,69,Appalachian Mountain Brewery,Boone,NC,
16.0 ounce,0.06,69,Appalachian Mountain Brewery,Boone,NC,
12.0 oz. Silo Can,0.06%,541,Arcadia Brewing Company,Battle Creek,MI,
12.0 oz.,0.062,541,Arcadia Brewing Company,Battle Creek,MI,
12.0 oz,0.052,513,Arctic Craft Brewery,Colorado Springs,CO,
12.0 ounce,0.092,426,Armadillo Ale Works,Denton TX,,
12.0 oz.,0.05%,426,Armadillo Ale Works,Denton,TX,
16.0 oz,0.052,461,Armstrong Brewing Company,South San Francisco,CA,
16.0 oz.,0.07,429,Asher Brewing Company,Boulder,CO,
12.0 oz,0.032,528,Asheville Brewing Company,Asheville,NC,
12.0 oz,0.053,528,Asheville Brewing Company,Asheville NC,,
12.0 oz.,0.06,528,Asheville Brewing Company,Asheville,NC,
16.0 ounce,0.048,353,Aslan Brewing Company,Bellingham,WA,
16.0 oz. Alumi-Tek,0.077,353,Aslan Brewing Company,Bellingham,WA,
16.0 oz. Silo Can,0.077,353,Aslan Brewing Company,Bellingham,WA,
12.0 oz.,0.056,523,Aspen Brewing Company,Aspen,CO,
12.0 oz,0.07%,523,Aspen Brewing Company,Aspen,CO,
12.0 oz.,0.057,374,Astoria Brewing Company,Astoria,OR,
12.0 oz.,0.08%,374,Astoria Brewing Company,Astoria,OR,
12.0 ounce,0.062,374,Astoria Brewing Company,Astoria,OR,
12.0 OZ.,0.06,374,Astoria Brewing Company,Astoria,OR,
16.0 ounce,0.075,72,Atwater Brewery,Detroit,MI,
16.0 oz.,0.06%,72,Atwater Brewery,Detroit,MI,
16.0 oz,0.052,72,Atwater Brewery,Detroit,MI,
12.0 oz.,0.045,72,Atwater Brewery,Detroit,MI,
12.0 oz,0.05%,72,Atwater Brewery,Detroit,MI,
12.0 oz.,0.05,72,Atwater Brewery,Detroit MI,,
16.0 oz,0.07,413,Austin Beerworks,Austin,TX,
12.0 OZ.,0.06%,413,Austin Beerworks,Austin,TX,
12.0 oz,0.051,413,Austin Beerworks,Austin,TX,
12.0 oz.,0.053,413,Austin Beerworks,Austin,TX,
12.0 ounce,0.052,413,Austin Beerworks,Austin,TX,
12.0 oz.,0.08%,37,Avery Brewing Company,Boulder,CO,
12.0 oz.,0.064,37,Avery Brewing Company,Boulder,CO,
12.0 oz.,0.047,37,Avery Brewing Company,Boulder,CO,
12.0 oz.,0.056,37,Avery Brewing Company,Boulder,CO,
12.0 oz,0.063,37,Avery Brewing Company,Boulder,CO,
12.0 ounce,0.055,37,Avery Brewing Company,Boulder,CO,
12.0 oz. Alumi-Tek,0.062,360,Aviator Brewing Company,Fuquay-Varina,NC,
12.0 oz.,0.072,360,Aviator Brewing Company,Fuquay-Varina,NC,
12.0 ounce,0.05%,360,Aviator Brewing Company,Fuquay-Varina,NC,
12.0 oz.,0.067,360,Aviator Brewing Company,Fuquay-Varina,NC,
12.0 oz.,0.092,360,Aviator Brewing Company,Fuquay-Varina,NC,
12.0 ounce,0.061,360,Aviator Brewing Company,Fuquay-Varina,NC,
12.0 ounce,0.086,235,Back East Brewing Company,Bloomfield,CT,
12.0 oz.,0.06,235,Back East Brewing Company,Bloomfield,CT,
12.0 OZ.,0.05%,235,Back East Brewing Company,Bloomfield,CT,
12.0 oz.,0.07,235,Back East Brewing Company,Bloomfield,CT,
12.0 ounce,0.05,235,Back East Brewing Company,Bloomfield,CT,
12.0 ounce,0.06%,286,Back Forty Beer Company,Gadsden,AL,
12.0 oz,0.06%,286,Back Forty Beer Company,Gadsden,AL,
12.0 ounce,0.068,483,Bale Breaker Brewing Company,Yakima,WA,
12.0 ounce,0.04%,483,Bale Breaker Brewing Company,Yakima,WA,
12.0 ounce,0.07%,34,Ballast Point Brewing Company,San Diego,CA,
12.0 ounce,0.04%,34,Ballast Point Brewing Company,San Diego CA,,
12.0 OZ.,0.05%,34,Ballast Point Brewing Company,San Diego,CA,
12.0 OZ.,0.07,34,Ballast Point Brewing Company,San Diego,CA,
12.0 oz,0.046,34,Ballast Point Brewing Company,San Diego,CA,
12.0 oz.,0.07,34,Ballast Point Brewing Company,San Diego,CA,
12.0 oz. Alumi-Tek,0.045,318,Banner Beer Company,Williamsburg,MA,
12.0 oz,0.05%,318,Banner Beer Company,Williamsburg,MA,
12.0 ounce,0.035,318,Banner Beer Company,Williamsburg,MA,
16.0 oz,0.07,20,Bare Hands Brewery,Granger,IN,
12.0 oz.,0.06,251,Barrio Brewing Company,Tucson,AZ,
12.0 oz,0.045,251,Barrio Brewing Company,Tucson,AZ,
12.0 oz. Alumi-Tek,0.05%,116,Base Camp Brewing Co.,Portland,OR,
12.0 oz.,0.067,116,Base Camp Brewing Co.,Portland,OR,
12.0 ounce,0.068,116,Base Camp Brewing Co.,Portland,OR,
12.0 oz.,0.05,116,Base Camp Brewing Co.,Portland,OR,
12.0 oz,0.051,116,Base Camp Brewing Co.,Portland,OR,
12.0 ounce,0.054,258,Bauhaus Brew Labs,Minneapolis,MN,
12.0 oz.,0.07%,258,Bauhaus Brew Labs,Minneapolis,MN,
12.0 oz.,0.05,258,Bauhaus Brew Labs,Minneapolis,MN,
12.0 oz.,0.054,258,Bauhaus Brew Labs,Minneapolis,MN,
12.0 oz,0.053,292,Baxter Brewing Company,Lewiston,ME,
16.0 oz,0.07%,292,Baxter Brewing Company,Lewiston,ME,
12.0 oz,0.047,292,Baxter Brewing Company,Lewiston,ME,
12.0 oz.,0.068,292,Baxter Brewing Company,Lewiston,ME,
12.0 ounce,0.066,292,Baxter Brewing Company,Lewiston,ME,
12.0 oz.,0.047,292,Baxter Brewing Company,Lewiston,ME,
12.0 oz.,0.055,292,Baxter Brewing Company,Lewiston,ME,
12.0 OZ.,0.05%,292,Baxter Brewing Company,Lewiston,ME,
12.0 oz,0.069,292,Baxter Brewing Company,Lewiston,ME,
16.0 ounce,0.088,306,Beach Brewing Company,Virginia Beach,VA,
12.0 OZ.,0.05,103,Beer Works Brewery,Lowell,MA,
12.0 oz. Alumi-Tek,0.06%,103,Beer Works Brewery,Lowell,MA,
12.0 oz.,0.07%,103,Beer Works Brewery,Lowell,MA,
12.0 ounce,0.048,103,Beer Works Brewery,Lowell,MA,
12.0 oz,0.06%,76,Bell's Brewery,Kalamazoo,MI,
16.0 oz.,0.06%,76,Bell's Brewery,Kalamazoo,MI,
16.0 oz.,0.05,76,Bell's Brewery,Kalamazoo,MI,
16.0 oz.,0.058,76,Bell's Brewery,Kalamazoo,MI,
16.0 OZ.,0.07,76,Bell's Brewery,Kalamazoo,MI,
16.0 oz.,0.058,76,Bell's Brewery,Kalamazoo,MI,
12.0 oz.,0.044,53,Bent Brewstillery,Roseville,MN,
16.0 ounce,0.083,53,Bent Brewstillery,Roseville,MN,
12.0 oz.,0.06%,53,Bent Brewstillery,Roseville,MN,
12.0 OZ.,0.06,75,Bent Paddle Brewing Company,Duluth,MN,
12.0 oz.,0.072,75,Bent Paddle Brewing Company,Duluth,MN,
12.0 ounce,0.056,75,Bent Paddle Brewing Company,Duluth,MN,
12.0 oz.,0.062,75,Bent Paddle Brewing Company,Duluth,MN,
12.0 oz.,0.06%,75,Bent Paddle Brewing Company,Duluth MN,,
12.0 oz.,0.05,75,Bent Paddle Brewing Company,Duluth,MN,
12.0 ounce,0.055,278,Berkshire Brewing Company,South Deerfield,MA,
12.0 oz,0.053,278,Berkshire Brewing Company,South Deerfield,MA,
12.0 oz.,0.08%,463,Big Bend Brewing Company,Alpine,TX,
12.0 oz.,0.05%,463,Big Bend Brewing Company,Alpine,TX,
12.0 oz,0.064,463,Big Bend Brewing Company,Alpine,TX,
12.0 oz,0.06%,463,Big Bend Brewing Company,Alpine,TX,
12.0 OZ.,0.06,463,Big Bend Brewing Company,Alpine,TX,
16.0 oz. Alumi-Tek,0.081,220,Big Choice Brewing,Broomfield,CO,
12.0 ounce,0.10%,220,Big Choice Brewing,Broomfield,CO,
16.0 oz.,0.041,220,Big Choice Brewing,Broomfield,CO,
16.0 oz,0.067,220,Big Choice Brewing,Broomfield,CO,
12.0 ounce,0.07%,477,Big Elm Brewing,Sheffield,MA,
12.0 OZ.,0.065,477,Big Elm Brewing,Sheffield,MA,
12.0 ounce,0.06,477,Big Elm Brewing,Sheffield,MA,
16.0 oz.,0.08,8,Big Lake Brewing,Holland,MI,
16.0 ounce,0.062,8,Big Lake Brewing,Holland,MI,
12.0 oz.,0.06,40,Big Muddy Brewing,Murphysboro,IL,
16.0 oz.,0.075,40,Big Muddy Brewing,Murphysboro,IL,
12.0 oz.,0.05,519,Big River Brewing Company,Chattanooga,TN,
12.0 oz.,0.06,519,Big River Brewing Company,Chattanooga,TN,
12.0 ounce,0.062,336,Big Sky Brewing Company,Missoula,MT,
12.0 oz,0.05%,336,Big Sky Brewing Company,Missoula,MT,
12.0 oz,0.05,336,Big Sky Brewing Company,Missoula,MT,
12.0 oz.,0.051,336,Big Sky Brewing Company,Missoula,MT,
12.0 oz.,0.072,336,Big Sky Brewing Company,Missoula,MT,
12.0 oz.,0.051,336,Big Sky Brewing Company,Missoula,MT,
12.0 oz,0.05,336,Big Sky Brewing Company,Missoula,MT,
12.0 OZ.,0.062,336,Big Sky Brewing Company,Missoula,MT,
12.0 ounce,0.047,336,Big Sky Brewing Company,Missoula,MT,
12.0 oz,0.05,336,Big Sky Brewing Company,Missoula,MT,
12.0 oz,0.05,336,Big Sky Brewing Company,Missoula,MT,
12.0 oz.,0.05%,336,Big Sky Brewing Company,Missoula,MT,
12.0 oz.,0.069,221,Big Storm Brewing Company,Odessa,FL,
12.0 ounce,0.06%,221,Big Storm Brewing Company,Odessa,FL,
16.0 oz,0.053,444,Big Wood Brewery,Vadnais Heights,MN,
16.0 ounce,0.10%,444,Big Wood Brewery,Vadnais Heights,MN,
16.0 OZ.,0.098,444,Big Wood Brewery,Vadnais Heights,MN,
16.0 oz.,0.055,444,Big Wood Brewery,Vadnais Heights,MN,
16.0 oz.,0.066,444,Big Wood Brewery,Vadnais Heights,MN,
16.0 ounce,0.055,70,Birdsong Brewing Company,Charlotte,NC,
12.0 oz,0.052,407,Bitter Root Brewing,Hamilton,MT,
12.0 oz,0.063,407,Bitter Root Brewing,Hamilton,MT,
12.0 oz.,0.054,407,Bitter Root Brewing,Hamilton,MT,
16.0 oz,0.072,18,Black Acre Brewing Co.,Indianapolis,IN,
12.0 oz,0.05%,112,Black Market Brewing Company,Temecula,CA,
12.0 ounce,0.075,112,Black Market Brewing Company,Temecula,CA,
12.0 ounce,0.05,112,Black Market Brewing Company,Temecula,CA,
12.0 ounce,0.058,112,Black Market Brewing Company,Temecula,CA,
12.0 oz,0.071,294,Black Shirt Brewing Company,Denver,CO,
12.0 ounce,0.071,294,Black Shirt Brewing Company,Denver,CO,
12.0 oz.,0.078,294,Black Shirt Brewing Company,Denver,CO,
12.0 oz,0.066,294,Black Shirt Brewing Company,Denver,CO,
12.0 oz,0.05%,79,Black Tooth Brewing Company,Sheridan,WY,
12.0 oz,0.046,79,Black Tooth Brewing Company,Sheridan,WY,
12.0 ounce,0.07%,95,Blackrocks Brewery,Marquette,MA,
12.0 oz. Alumi-Tek,0.048,12,Blackrocks Brewery,Marquette,MI,
12.0 OZ.,0.06,12,Blackrocks Brewery,Marquette,MI,
12.0 ounce,0.052,12,Blackrocks Brewery,Marquette,MI,
12.0 ounce,0.068,12,Blackrocks Brewery,Marquette,MI,
12.0 oz,0.07,12,Blackrocks Brewery,Marquette,MI,
12.0 ounce,0.055,12,Blackrocks Brewery,Marquette,MI,
12.0 ounce,0.05%,380,Blue Blood Brewing Company,Lincoln,NE,
12.0 oz. Alumi-Tek,,380,Blue Blood Brewing Company,Lincoln,NE,
12.0 oz.,0.06%,380,Blue Blood Brewing Company,Lincoln,NE,
12.0 oz.,0.08,380,Blue Blood Brewing Company,Lincoln,NE,
12.0 oz.,0.096,380,Blue Blood Brewing Company,Lincoln,NE,
12.0 oz,0.052,380,Blue Blood Brewing Company,Lincoln,NE,
12.0 ounce,,380,Blue Blood Brewing Company,Lincoln,NE,
12.0 ounce,0.05,380,Blue Blood Brewing Company,Lincoln,NE,
12.0 ounce,0.064,380,Blue Blood Brewing Company,Lincoln,NE,
12.0 oz.,0.045,380,Blue Blood Brewing Company,Lincoln,NE,
12.0 oz.,0.056,380,Blue Blood Brewing Company,Lincoln,NE,
12.0 ounce,0.06%,380,Blue Blood Brewing Company,Lincoln,NE,
12.0 ounce,0.06%,380,Blue Blood Brewing Company,Lincoln,NE,
12.0 oz.,0.046,380,Blue Blood Brewing Company,Lincoln,NE,
12.0 oz.,0.059,422,Blue Dog Mead,Eugene,OR,
12.0 oz,0.06%,422,Blue Dog Mead,Eugene,OR,
12.0 oz,0.08%,304,Blue Hills Brewery,Canton MA,,
12.0 ounce,0.059,382,Blue Mountain Brewery,Afton VA,,
12.0 oz.,0.065,382,Blue Mountain Brewery,Afton,VA,
12.0 oz.,0.053,382,Blue Mountain Brewery,Afton,VA,
12.0 ounce,0.059,382,Blue Mountain Brewery,Afton,VA,
12.0 oz,0.049,414,Blue Mountain Brewery,Arrington,VA,
12.0 oz.,,77,Blue Owl Brewing,Austin,TX,
12.0 oz.,,77,Blue Owl Brewing,Austin,TX,
12.0 oz.,,77,Blue Owl Brewing,Austin,TX,
12.0 oz,,77,Blue Owl Brewing,Austin,TX,
16.0 oz. Alumi-Tek,0.07,489,Blue Point Brewing Company,Patchogue,NY,
12.0 oz.,0.06%,489,Blue Point Brewing Company,Patchogue,NY,
12.0 ounce,0.044,489,Blue Point Brewing Company,Patchogue,NY,
12.0 ounce,0.055,489,Blue Point Brewing Company,Patchogue,NY,
12.0 oz.,0.06,364,Bohemian Brewery,Midvale,UT,
12.0 oz.,0.053,364,Bohemian Brewery,Midvale,UT,
12.0 oz.,0.04,364,Bohemian Brewery,Midvale,UT,
12.0 oz,0.05%,364,Bohemian Brewery,Midvale,UT,
12.0 oz. Alumi-Tek,0.05,364,Bohemian Brewery,Midvale,UT,
12.0 oz,0.065,378,Bold City Brewery,Jacksonville,FL,
12.0 oz. Alumi-Tek,0.055,378,Bold City Brewery,Jacksonville,FL,
12.0 oz.,0.06%,378,Bold City Brewery,Jacksonville,FL,
16.0 OZ.,0.04%,281,Bolero Snort Brewery,Ridgefield Park,NJ,
16.0 oz.,0.04,281,Bolero Snort Brewery,Ridgefield Park,NJ,
12.0 oz,0.051,525,Bomb Beer Company,New York,NY,
12.0 oz.,0.045,525,Bomb Beer Company,New York,NY,
12.0 ounce,0.066,107,Bonfire Brewing Company,Eagle,CO,
16.0 oz.,0.075,107,Bonfire Brewing Company,Eagle,CO,
16.0 ounce,0.048,107,Bonfire Brewing Company,Eagle,CO,
12.0 oz.,0.056,107,Bonfire Brewing Company,Eagle,CO,
16.0 ounce,0.07,107,Bonfire Brewing Company,Eagle,CO,
12.0 oz. Alumi-Tek,0.047,107,Bonfire Brewing Company,Eagle,CO,
16.0 oz. Alumi-Tek,0.068,107,Bonfire Brewing Company,Eagle,CO,
12.0 oz,0.047,107,Bonfire Brewing Company,Eagle,CO,
12.0 oz,0.047,107,Bonfire Brewing Company,Eagle,CO,
12.0 oz.,0.048,107,Bonfire Brewing Company,Eagle,CO,
16.0 oz.,0.05%,107,Bonfire Brewing Company,Eagle,CO,
12.0 oz.,0.053,107,Bonfire Brewing Company,Eagle,CO,
12.0 oz.,0.06%,107,Bonfire Brewing Company,Eagle,CO,
16.0 ounce,0.061,107,Bonfire Brewing Company,Eagle,CO,
12.0 ounce,0.058,107,Bonfire Brewing Company,Eagle,CO,
12.0 oz.,0.06%,107,Bonfire Brewing Company,Eagle,CO,
12.0 ounce,0.048,107,Bonfire Brewing Company,Eagle,CO,
16.0 oz.,0.048,107,Bonfire Brewing Company,Eagle CO,,
16.0 ounce,0.066,107,Bonfire Brewing Company,Eagle,CO,
16.0 oz. Alumi-Tek,0.071,231,Borderlands Brewing Company,Tucson,AZ,
12.0 ounce,0.045,300,Boston Beer Company,Boston,MA,
16.0 oz,0.065,300,Boston Beer Company,Boston,MA,
12.0 ounce,0.055,300,Boston Beer Company,Boston,MA,
12.0 oz.,0.06%,300,Boston Beer Company,Boston,MA,
16.0 ounce,0.049,300,Boston Beer Company,Boston,MA,
12.0 oz.,0.049,300,Boston Beer Company,Boston,MA,
12.0 oz,0.053,300,Boston Beer Company,Boston,MA,
12.0 oz,0.053,300,Boston Beer Company,Boston,MA,
12.0 oz.,0.049,300,Boston Beer Company,Boston,MA,
12.0 oz.,0.049,417,Boulder Beer Company,Boulder,CO,
12.0 ounce,0.057,417,Boulder Beer Company,Boulder,CO,
12.0 oz.,0.049,417,Boulder Beer Company,Boulder,CO,
12.0 oz.,0.062,31,Boulevard Brewing Company,Kansas City,MO,
12.0 oz.,0.065,167,Boxcar Brewing Company,West Chester,PA,
12.0 oz,0.058,167,Boxcar Brewing Company,West Chester,PA,
12.0 ounce,0.05%,167,Boxcar Brewing Company,West Chester,PA,
12.0 oz.,0.06%,219,Bozeman Brewing Company,Bozeman,MT,
12.0 ounce,0.057,219,Bozeman Brewing Company,Bozeman,MT,
12.0 ounce,0.07,219,Bozeman Brewing Company,Bozeman,MT,
12.0 oz.,0.06,219,Bozeman Brewing Company,Bozeman,MT,
12.0 oz,0.06%,219,Bozeman Brewing Company,Bozeman,MT,
12.0 oz. Alumi-Tek,0.052,207,Branchline Brewing Company,San Antonio,TX,
16.0 oz,0.05,195,Breakside Brewery,Portland,OR,
12.0 oz.,0.042,391,Breckenridge Brewery,Denver,CO,
12.0 ounce,0.045,391,Breckenridge Brewery,Denver,CO,
12.0 ounce,0.06%,391,Breckenridge Brewery,Denver,CO,
12.0 oz,0.054,391,Breckenridge Brewery,Denver CO,,
12.0 oz.,0.05,308,Brew Bus Brewing,Tampa,FL,
12.0 oz.,0.072,308,Brew Bus Brewing,Tampa,FL,
12.0 oz.,0.05%,308,Brew Bus Brewing,Tampa,FL,
12.0 oz,0.055,308,Brew Bus Brewing,Tampa,FL,
16.0 oz.,0.06%,19,Brew Link Brewing,Plainfield IN,,
16.0 ounce,0.053,85,Brewery Terra Firma,Traverse City,MI,
16.0 oz,0.067,10,Brewery Vivant,Grand Rapids,MI,
16.0 oz.,0.06,10,Brewery Vivant,Grand Rapids,MI,
16.0 OZ.,0.098,10,Brewery Vivant,Grand Rapids,MI,
16.0 oz,0.06,10,Brewery Vivant,Grand Rapids,MI,
16.0 oz.,0.07,10,Brewery Vivant,Grand Rapids,MI,
16.0 oz,0.077,10,Brewery Vivant,Grand Rapids,MI,
16.0 oz.,0.065,10,Brewery Vivant,Grand Rapids,MI,
